,Rank,App
472,13.,"Security Master - Antivirus, VPN, AppLock, Booster"
473,14.,PUBG MOBILE
474,15.,Google Photos
475,16.,Snapchat
476,17.,"UC Browser- Free & Fast Video Downloader, News App"
477,18.,Google Chrome: Fast & Secure
478,19.,8 Ball Pool
479,20.,"360 Security -  Antivirus, Booster, Phone Cleaner"
480,1.,WhatsApp Messenger
481,2.,Facebook
482,3.,Instagram
483,4.,Messenger – Text and Video Chat for Free
484,5.,YouTube
485,6.,Clash of Clans
486,7.,"Clean Master - Antivirus, Applock & Cleaner"
487,8.,Garena Free Fire: Spooky Night
488,9.,Subway Surfers
489,10.,Clash Royale
490,11.,Candy Crush Saga
491,12.,Google Play services
492,13.,"Security Master - Antivirus, VPN, AppLock, Booster"
493,14.,PUBG MOBILE
494,15.,Google Photos
495,16.,Snapchat
496,17.,"UC Browser- Free & Fast Video Downloader, News App"
497,18.,Google Chrome: Fast & Secure
498,19.,8 Ball Pool
499,20.,"360 Security -  Antivirus, Booster, Phone Cleaner"
